"","country","subj","PDE_nonsocial_pre","PDE_nonsocial_post","PDE_nonsocial_accpost"
"precoh_cat28","PKU","131",0.0736837369175791,0.195834144830929,0.601662418860404
"precoh_cat29","PKU","132",0.0569421843794294,0.220762934499997,0.576476739791681
"precoh_cat30","PKU","133",0.0606987319752836,0.198323998098473,0.66354151243305
"precoh_cat31","PKU","134",0.061046767242694,0.22827687331574,0.587500235054343
"precoh_cat32","PKU","135",0.0187786654121129,0.364755408353742,0.741288592082385
"precoh_cat33","PKU","136",0.0285944117264281,0.0183962214156599,0.413729894135639
"precoh_cat34","PKU","137",0.00628306006453556,0.238380139618479,0.578987309988096
"precoh_cat35","PKU","138",0.0681317306443798,0.162019871161593,0.456152697420703
"precoh_cat36","PKU","139",0.0111870389516355,0.0504018787241404,0.159583179347658
"precoh_cat37","PKU","140",0.0537001959945734,0.0710460970405264,0.317801960956928
"precoh_cat38","PKU","141",0.00518360454651266,0.0704197863200009,0.178013092671154
"precoh_cat39","UCL","201",0.0029072097100502,0.280276807482161,0.603942672669955
"precoh_cat40","UCL","202",0.155482718401643,0.205314189934885,0.687848309599699
"precoh_cat41","UCL","203",0.0766190338444613,0.00679074466109011,0.0600166681893999
"precoh_cat42","UCL","204",0.0365676824570135,0.181398922384533,0.564574241183491
"precoh_cat43","UCL","206",0.0238231512529294,0.112321137319295,0.404658720399268
"precoh_cat44","UCL","207",0.0385452206928845,0.195143951439555,0.516445231321741
"precoh_cat45","UCL","208",0.0676791670134224,0.0247051622992681,0.467300758883361
"precoh_cat46","UCL","209",0.118727644348268,0.130548879193041,0.557601704666875
"precoh_cat47","UCL","210",0.000166394361555902,0.0334782004642699,0.33008382976595
"precoh_cat48","UCL","211",0.0269935235689484,0.144732471244066,0.519688946799023
"precoh_cat49","UCL","212",0.00761741807734547,0.278873267354703,0.63183019871559
"precoh_cat50","UCL","213",0.0772783922672854,0.00129698815916289,0.406796953804771
"precoh_cat51","UCL","214",0.0266807179630923,0.0165277772054321,0.359100384798021
"precoh_cat52","UCL","215",0.0574345328456583,0.077702731157275,0.155822667310298
"precoh_cat53","UCL","216",0.000391345583501726,0.431241869038219,0.86295819437145
"precoh_cat54","UCL","217",0.0444543220292942,0.0754032342785098,0.422591854969788
"precoh_cat55","UCL","218",0.0495993795077648,0.0336605386932696,0.451562485644269
"precoh_cat56","UCL","219",0.0710437094039681,0.124318472108262,0.516109522494165
"precoh_cat57","UCL","220",0.0223488956983961,0.117127862177279,0.617923980188093
"precoh_cat58","UCL","221",0.0188064305503001,0.243298403369339,0.584467544046194
"precoh_cat59","UCL","222",0.0470890048997047,0.207845283610645,0.67274255109337
"precoh_cat60","UCL","223",0.0296499245768112,0.171788616114519,0.406614990909573
"precoh_cat61","UCL","224",0.0824189421252284,0.181645313537946,0.621620434825734
"precoh_cat62","UCL","225",0.0896650424407387,0.015882303654922,0.303864459087822
"precoh_cat63","UCL","226",0.0125588661021505,0.00344049923282513,0.58904541399462
"precoh_cat64","UCL","227",0.0718552916523117,0.00801918789910583,0.0113922972092418
"precoh_cat65","UCL","229",0.0617520605241521,0.0547914333632089,0.156120235726155
"precoh_cat66","UCL","230",0.0717571760687293,0.00637487671232573,0.312856439745056
"precoh_cat67","UCL","231",0.0121592987798577,0.163283019819079,0.558982354367015
"precoh_cat68","UCL","232",0.00928107225842098,0.27375697056478,0.605499867873417
"precoh_cat69","UCL","233",0.0206018367030245,0.155211053723456,0.448088498665096
"precoh_cat70","UCL","234",0.0290980217179744,0.00655366016923915,0.538597024225591
"precoh_cat71","UCL","236",0.00223957144288895,0.0187026478603379,0.658972094780904
"precoh_cat72","UCL","237",0.00454224274682318,0.180228153139803,0.442145875035713
"precoh_cat73","UCL","238",0.00670091867723329,0.0797598896753815,0.186667144592264
"precoh_cat74","UCL","239",0.0378463828441337,0.200537978751234,0.687272456641471
"precoh_cat75","UCL","240",0.058724282639162,0.0704062516342236,0.3608020804191
"precoh_cat76","UCL","241",0.0318211059867587,0.0949213351249686,0.230155440874428
"precoh_cat77","UCL","242",0.0941947693411477,0.100558791297467,0.453064669317005
