sj,age,gender,income,hol1,hol2,hol3,hol4,hol_tot,constr1,constr2,IQ,BCIS,BCIS_SC,BCIS_SR
441,23,1,60000.00,6.666666667,5.833333333,4,6.333333333,5.708333333,4.666666667,4.916666667,86,43,14,29
442,24,1,28000.00,7,6,4,6.333333333,5.833333333,6.25,4.5,91,34,11,23
443,24,0,40000.00,6.333333333,5,5,5,5.333333333,4.75,4,89,37,15,22
445,19,1,120000.00,6,3.666666667,4.666666667,4.666666667,4.75,5.083333333,4.5,112,42,12,30
446,22,0,48000.00,5.333333333,5.5,4.666666667,4.666666667,5.041666667,4.416666667,4.666666667,102,39,15,24
447,23,0,20000.00,6.333333333,4.666666667,4,5,5,5.833333333,5.416666667,102,33,13,20
448,26,0,90000.00,6.833333333,5.666666667,4.5,4.166666667,5.291666667,4.5,5.083333333,89,33,13,20
449,19,0,4000.00,5.833333333,4.5,5.166666667,5.666666667,5.291666667,5.25,5.083333333,105,33,10,23
450,20,0,10000.00,5.333333333,5.166666667,4.5,5,5,6.083333333,5,105,42,18,24
451,21,0,18000.00,5,3.833333333,5.166666667,4.666666667,4.666666667,4.75,4.166666667,112,36,12,24
452,25,0,8000.00,4,4.833333333,4.5,4.833333333,4.541666667,4.666666667,4.833333333,86,39,17,22
453,22,0,100000.00,7,3.666666667,5.666666667,4.833333333,5.291666667,4.75,4.5,96,41,16,25
454,25,0,40000.00,6,5.166666667,4.833333333,6.666666667,5.666666667,4.833333333,5.75,96,42,18,24
455,21,0,40000.00,4.666666667,3.5,4.5,5.333333333,4.5,4.583333333,5.166666667,109,42,17,25
456,25,0,10000.00,5,3,2,7,4.25,4,5.5,102,42,21,21
457,22,0,14000.00,4.666666667,2.5,4.666666667,3.833333333,3.916666667,4.416666667,4.25,83,39,11,28
458,20,0,48000.00,6,5.833333333,3.666666667,6,5.375,5.833333333,5.25,84,37,12,25
459,24,0,12000.00,7,4.5,4.666666667,4.5,5.166666667,3.333333333,5.083333333,89,40,16,24
